id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23454239,Rental unit in Montréal · ★4.89 · 1 bedroom · 2 beds · 1 bath,154255550,Saina,,Le Plateau-Mont-Royal,45.51433,-73.57053,Entire home/apt,139,31,216,2023-07-17,3.31,1,74,45,"314779, expires: 2024-08-14T00:00:00Z"
23466430,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,114215299,Renee,,Ville-Marie,45.51542,-73.55409,Entire home/apt,103,31,4,2023-07-03,0.28,1,336,2,
23481594,Rental unit in Montréal · ★4.89 · Studio · 1 bed · 1 bath,141009075,Michel,,Ahuntsic-Cartierville,45.54811,-73.64325,Entire home/apt,84,32,64,2023-08-16,0.98,3,152,5,
23485225,Home in Montréal · ★5.0 · 4 bedrooms · 4 beds · 2 baths,175091462,Sarah,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.466045,-73.627876,Entire home/apt,498,3,3,2023-06-19,0.05,2,0,1,"308716, expires: 2024-01-31"
23514870,Condo in Montréal · ★4.89 · 2 bedrooms · 2 beds · 2 baths,6114938,Patrick,,Le Sud-Ouest,45.481,-73.56711,Entire home/apt,300,31,37,2021-08-31,0.57,6,120,0,
23517653,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,13794701,Monique,,Rosemont-La Petite-Patrie,45.53356,-73.59881,Entire home/apt,90,31,9,2023-05-07,0.14,1,254,2,
23518449,Rental unit in Montréal · ★4.75 · Studio · 1 bed · 1 bath,66881070,Oxford,,Le Plateau-Mont-Royal,45.50929,-73.57516,Entire home/apt,90,31,5,2022-11-16,0.08,15,310,1,
23562050,Rental unit in Montréal · ★4.85 · 1 bedroom · 2 beds · 1 bath,149880179,Isabel,,Ahuntsic-Cartierville,45.54321,-73.70307,Entire home/apt,85,31,95,2023-07-31,1.46,1,267,3,
23578626,Rental unit in Montréal · ★3.67 · 1 bedroom · 1 bed · 1 shared bath,28221264,Michel,,Ahuntsic-Cartierville,45.54411,-73.66051,Private room,65,31,3,2023-08-19,3,2,227,3,231588
23633673,Condo in Montréal · ★5.0 · 2 bedrooms · 3 beds · 1 bath,5798475,Kamil,,Verdun,45.46028,-73.56538,Entire home/apt,109,40,108,2023-06-04,1.65,2,275,3,
23646985,Rental unit in Montreal · ★5.0 · 1 bedroom · 1 bed · 1 bath,38508444,Nicolas & Audrey,,Ahuntsic-Cartierville,45.55765,-73.63944,Entire home/apt,50,32,16,2023-04-11,0.24,1,244,2,
23660289,Rental unit in Montréal · ★4.92 · 3 bedrooms · 5 beds · 1.5 baths,49751493,Hugo,,Le Plateau-Mont-Royal,45.52516,-73.57345,Entire home/apt,114,2,49,2023-08-13,0.74,1,3,6,"307784, expires: 2024-01-01T01:00:00Z"
23783576,Loft in Montreal · Studio · 2 beds · 1 bath,1747581,Leigh,,Rosemont-La Petite-Patrie,45.53326,-73.61913,Entire home/apt,100,31,1,2018-07-07,0.02,1,229,0,
23791967,Rental unit in Montréal · 1 bedroom · 1 bed · 1 private bath,178536004,Pelin,,Ville-Marie,45.50532,-73.56978,Private room,733,90,0,,,1,365,0,
23818572,Condo in Montréal · ★5.0 · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50771,-73.57804,Private room,27,35,3,2023-08-16,0.05,15,0,2,
23821439,Hostel in Montréal · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50706,-73.57591,Private room,35,35,1,2018-08-05,0.02,15,0,0,
23822074,Rental unit in Montréal · ★4.68 · 2 bedrooms · 2 beds · 1 bath,111838033,Stacy,,Saint-Léonard,45.57885,-73.607,Entire home/apt,104,31,249,2023-08-17,3.79,1,45,64,"300478, expires: 2023-11-11"
23822150,Loft in Montréal · ★4.76 · 1 bedroom · 2 beds · 1 bath,19059657,Yanick,,Ville-Marie,45.50872,-73.55108,Entire home/apt,989,360,103,2020-02-11,1.61,2,0,0,
23822928,Condo in Montréal · ★5.0 · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50769,-73.5782,Private room,27,35,4,2023-08-26,0.06,15,0,1,
23823050,Hostel in Montréal · ★5.0 · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50786,-73.57779,Private room,35,35,3,2023-08-05,0.05,15,0,1,
23823831,Condo in Montréal · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50773,-73.57587,Private room,27,35,1,2018-07-31,0.02,15,0,0,
23824447,Condo in Montréal · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50726,-73.57785,Private room,27,35,2,2019-08-10,0.03,15,0,0,
23826731,Condo in Montréal · ★4.87 · 2 bedrooms · 2 beds · 2 baths,178861975,Marina,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47467,-73.60765,Entire home/apt,399,31,89,2023-06-19,1.34,6,257,6,
23855638,Rental unit in Montréal · ★4.83 · 3 bedrooms · 3 beds · 1 bath,14374087,Jean-Philippe,,Outremont,45.51718,-73.62264,Entire home/apt,250,4,6,2021-08-25,0.10,1,0,0,"312718, expires: 2024-04-13"
23872979,Home in Montréal · ★4.50 · 2 bedrooms · 2 beds · 2 baths,166203600,Obc,,Ville-Marie,45.52974,-73.55281,Entire home/apt,1000,2,24,2023-06-19,0.38,1,177,1,"301437, expires: 2024-05-31"
23880065,Rental unit in Montréal · ★4.95 · 3 bedrooms · 5 beds · 1 bath,179423563,Bonjour,,Le Plateau-Mont-Royal,45.52124,-73.57749,Entire home/apt,512,2,194,2023-08-24,2.94,4,240,37,"300050, expires: 2023-08-31"
23880988,Cottage in Montréal · ★4.74 · 1 bedroom · 1 bed · 1 bath,174262397,David,,Verdun,45.46265,-73.56232,Entire home/apt,59,31,66,2023-05-13,1.00,2,334,3,
23895509,Condo in Montréal · ★4.88 · 1 bedroom · 2 beds · 1 bath,178861975,Marina,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47303,-73.60827,Entire home/apt,299,31,76,2022-08-03,1.15,6,57,0,
23905549,Condo in Montréal · ★4.65 · 2 bedrooms · 4 beds · 1 bath,126855320,Mishel,,Le Sud-Ouest,45.48229,-73.56769,Entire home/apt,75,31,158,2023-07-26,2.38,6,151,8,
23925765,Rental unit in Montréal · ★4.93 · 2 bedrooms · 2 beds · 1 bath,179860891,John & Danielle,,Rosemont-La Petite-Patrie,45.53611,-73.59701,Entire home/apt,110,31,40,2023-07-30,0.62,1,141,5,
23926329,Rental unit in Montréal · ★4.79 · 6 bedrooms · 6 beds · 2 baths,57330016,Hayley,,Ville-Marie,45.51054,-73.56845,Entire home/apt,399,31,68,2023-08-27,1.05,15,0,11,312666
23965587,Condo in Montréal · ★4.88 · 1 bedroom · 2 beds · 1 bath,66248201,Emy,,Villeray-Saint-Michel-Parc-Extension,45.56308,-73.60972,Entire home/apt,140,2,34,2023-08-31,3.94,1,77,34,"311240, expires: 2023-11-29"
23978390,Condo in Montréal · ★4.87 · 2 bedrooms · 2 beds · 2 baths,178861975,Marina,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47316,-73.60655,Entire home/apt,299,31,92,2023-03-18,1.44,6,164,6,
23988363,Home in Montréal · ★4.67 · 3 bedrooms · 3 beds · 1.5 baths,12584180,François,,Le Plateau-Mont-Royal,45.5205,-73.5879,Entire home/apt,500,2,3,2022-08-12,0.06,1,0,0,"310162, expires: 2024-05-31"
23995283,Rental unit in Montréal · ★4.88 · 1 bedroom · 1 bed · 1 bath,180543417,Ying,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49061,-73.62721,Entire home/apt,75,32,91,2023-08-20,1.38,1,62,1,
24011480,Rental unit in Montréal · ★4.92 · 3 bedrooms · 5 beds · 2 baths,17500046,Tania,,Le Plateau-Mont-Royal,45.51708,-73.56817,Entire home/apt,386,1,131,2023-08-24,2.06,5,259,41,"297557, expires: 2024-04-30"
24036226,Townhouse in Montréal · ★4.96 · 4 bedrooms · 6 beds · 2 baths,48966486,Henry,,Outremont,45.51916,-73.59889,Entire home/apt,364,3,168,2023-08-20,2.59,1,43,37,"309836, expires: 2024-05-01T00:00:00Z"
24062908,Rental unit in Montréal · ★5.0 · 1 bedroom · 2 beds · 1 bath,34023837,Marie,,Le Plateau-Mont-Royal,45.51311,-73.56953,Entire home/apt,100,31,3,2022-03-12,0.05,1,0,0,307979
24063134,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 2 baths,154681554,Frank,,Le Plateau-Mont-Royal,45.50786,-73.57165,Entire home/apt,188,31,3,2018-08-14,0.05,3,88,0,
24063433,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,22289802,Madeleine,,Verdun,45.45932,-73.56692,Entire home/apt,150,32,12,2019-03-14,0.19,2,337,0,
24063564,Home in Montréal · ★4.91 · 6 bedrooms · 8 beds · 4 baths,121712538,Paris,,Le Plateau-Mont-Royal,45.510063,-73.572289,Entire home/apt,1100,2,147,2023-08-27,2.26,3,140,30,"299716, expires: 2024-07-31"
24077047,Rental unit in Montréal · 3 bedrooms · 3 beds · 1 bath,181285549,Anne & Olivier,,Le Plateau-Mont-Royal,45.52459,-73.60655,Entire home/apt,89,90,0,,,1,0,0,
24084286,Rental unit in Montréal · ★4.78 · 1 bedroom · 2 beds · 1 bath,15462118,Iryna,,Mercier-Hochelaga-Maisonneuve,45.56092,-73.54223,Entire home/apt,75,32,88,2022-07-24,1.40,2,5,0,
24105216,Rental unit in Montréal · ★4.93 · 2 bedrooms · 3 beds · 1 bath,2061871,Joseph,,Mercier-Hochelaga-Maisonneuve,45.54554,-73.54896,Entire home/apt,175,31,54,2020-10-25,0.85,1,0,0,
24128202,Condo in Montréal · ★3.75 · 2 bedrooms · 2 beds · 1 bath,146743514,Carlos,,LaSalle,45.41772,-73.64228,Entire home/apt,136,31,4,2020-01-01,0.06,42,150,0,
24142030,Rental unit in Montréal · ★4.20 · 1 bedroom · 1 bed · 1 shared bath,94022686,Ian,,Le Plateau-Mont-Royal,45.52359,-73.58485,Private room,31,31,35,2020-01-01,0.54,2,0,0,
24151170,Loft in Montréal · ★4.96 · 1 bedroom · 2 beds · 1 bath,91931474,Annick,,Le Plateau-Mont-Royal,45.52177,-73.579,Entire home/apt,58,60,28,2019-12-03,0.51,1,0,0,
24179082,Rental unit in Montréal · ★4.75 · 2 bedrooms · 3 beds · 1 bath,1803138,MFS - Maria,,Ahuntsic-Cartierville,45.54973,-73.66556,Entire home/apt,80,33,4,2022-07-22,0.06,5,61,0,
24185972,Rental unit in Montréal  · ★4.63 · 3 bedrooms · 3 beds · 1 bath,137921345,Nacima & Kamal,,Saint-Léonard,45.58264,-73.58362,Entire home/apt,219,2,139,2023-08-27,2.22,5,103,29,"296468, expires: 2024-09-01T00:00:00Z"
